"","week","posteam","receiver","position","games","targets","rec","yards","TD","air_yards","fumbles","fpts","team_targets","team_air_yards","target_share","air_yards_share","WOPR"
"706",4,"NO","T.Smith","WR",1,4,4,54,2,50,0,17.4,25,233,0.16,0.214592274678112,0.390214592274678
"707",4,"NYG","C.Board","WR",1,1,0,0,0,10,0,0,36,209,0.0277777777777778,0.0478468899521531,0.0751594896331738
"708",4,"NYG","D.Ratley","WR",1,4,3,34,0,42,0,3.4,36,209,0.111111111111111,0.200956937799043,0.307336523125997
"709",4,"NYG","D.Slayton","WR",1,7,3,48,0,93,0,4.8,36,209,0.194444444444444,0.444976076555024,0.603149920255183
"710",4,"NYG","E.Engram","TE",1,10,6,35,0,24,0,3.5,36,209,0.277777777777778,0.114832535885167,0.497049441786284
"711",4,"NYG","G.Tate","WR",1,6,4,20,0,17,0,2,36,209,0.166666666666667,0.0813397129186603,0.306937799043062
"712",4,"NYG","K.Smith","TE",1,1,1,10,0,8,0,1,36,209,0.0277777777777778,0.0382775119617225,0.0684609250398724
"713",4,"NYJ","B.Berrios","WR",1,3,0,0,0,25,0,0,43,428,0.0697674418604651,0.058411214953271,0.145539013257987
"714",4,"NYJ","C.Herndon","TE",1,3,1,11,0,16,0,1.1,43,428,0.0697674418604651,0.0373831775700935,0.130819387089763
"715",4,"NYJ","C.Hogan","WR",1,8,4,23,0,76,0,2.3,43,428,0.186046511627907,0.177570093457944,0.403368832862421
"716",4,"NYJ","J.Crowder","WR",1,10,7,104,0,115,0,10.4,43,428,0.232558139534884,0.268691588785047,0.536921321451858
"717",4,"NYJ","J.Smith","WR",1,9,7,81,0,105,0,8.1,43,428,0.209302325581395,0.245327102803738,0.48568246033471
"718",4,"NYJ","L.Cager","WR",1,2,0,0,0,48,0,0,43,428,0.0465116279069767,0.11214953271028,0.148272114757661
"719",4,"NYJ","R.Griffin","TE",1,3,3,10,0,3,0,1,43,428,0.0697674418604651,0.00700934579439252,0.109557704846772
"720",4,"PHI","G.Ward","WR",1,7,4,38,0,44,0,3.8,26,146,0.269230769230769,0.301369863013699,0.614805057955743
"721",4,"PHI","J.Hightower","WR",1,2,2,22,0,16,0,2.2,26,146,0.0769230769230769,0.10958904109589,0.192096944151739
"722",4,"PHI","R.Rodgers","TE",1,4,3,35,0,37,0,3.5,26,146,0.153846153846154,0.253424657534247,0.408166491043203
"723",4,"PHI","T.Fulgham","WR",1,3,2,57,1,50,0,11.7,26,146,0.115384615384615,0.342465753424658,0.412802950474183
"724",4,"PHI","Z.Ertz","TE",1,5,4,9,0,5,0,0.9,26,146,0.192307692307692,0.0342465753424658,0.312434141201265
"725",4,"SEA","D.Metcalf","WR",1,6,4,106,0,87,0,10.6,33,300,0.181818181818182,0.29,0.475727272727273
"726",4,"SEA","D.Moore","WR",1,4,3,95,1,72,0,15.5,33,300,0.121212121212121,0.24,0.349818181818182
"727",4,"SEA","F.Swain","WR",1,3,2,32,0,13,0,3.2,33,300,0.0909090909090909,0.0433333333333333,0.16669696969697
"728",4,"SEA","G.Olsen","TE",1,7,5,35,0,57,0,3.5,33,300,0.212121212121212,0.19,0.451181818181818
"729",4,"SEA","T.Lockett","WR",1,4,2,39,0,57,0,3.9,33,300,0.121212121212121,0.19,0.314818181818182
"730",4,"SEA","W.Dissly","TE",1,2,2,15,0,7,0,1.5,33,300,0.0606060606060606,0.0233333333333333,0.107242424242424
"731",4,"SF","B.Aiyuk","WR",1,5,2,18,0,25,0,1.8,41,224,0.121951219512195,0.111607142857143,0.261051829268293
"732",4,"SF","D.Samuel","WR",1,3,3,35,0,15,0,3.5,41,224,0.0731707317073171,0.0669642857142857,0.156631097560976
"733",4,"SF","G.Kittle","TE",1,15,15,183,1,109,0,24.3,41,224,0.365853658536585,0.486607142857143,0.889405487804878
"734",4,"SF","K.Bourne","WR",1,6,3,33,1,45,0,9.3,41,224,0.146341463414634,0.200892857142857,0.360137195121951
"735",4,"SF","T.Taylor","WR",1,1,0,0,0,8,0,0,41,224,0.024390243902439,0.0357142857142857,0.0615853658536585
"736",4,"TB","C.Brate","TE",1,1,1,3,1,3,0,6.3,45,427,0.0222222222222222,0.00702576112412178,0.0382513661202186
"737",4,"TB","J.Watson","WR",1,6,4,40,1,48,0,10,45,427,0.133333333333333,0.112412177985948,0.278688524590164
"738",4,"TB","M.Evans","WR",1,8,7,122,1,105,0,18.2,45,427,0.177777777777778,0.245901639344262,0.43879781420765
"739",4,"TB","O.Howard","TE",1,6,3,50,1,76,0,11,45,427,0.133333333333333,0.177985948477752,0.324590163934426
"740",4,"TB","R.Gronkowski","TE",1,3,1,29,0,70,0,2.9,45,427,0.0666666666666667,0.163934426229508,0.214754098360656
"741",4,"TB","S.Miller","WR",1,7,5,83,1,126,0,14.3,45,427,0.155555555555556,0.295081967213115,0.439890710382514
"742",4,"WAS","C.Sims","WR",1,2,2,17,0,7,0,1.7,44,200,0.0454545454545455,0.035,0.0926818181818182
"743",4,"WAS","D.Inman","WR",1,5,4,29,0,25,0,2.9,44,200,0.113636363636364,0.125,0.257954545454545
"744",4,"WAS","I.Wright","WR",1,5,4,20,0,3,0,2,44,200,0.113636363636364,0.015,0.180954545454545
"745",4,"WAS","L.Thomas","TE",1,4,1,8,0,22,0,0.8,44,200,0.0909090909090909,0.11,0.213363636363636
"746",4,"WAS","T.McLaurin","WR",1,14,10,118,0,135,0,11.8,44,200,0.318181818181818,0.675,0.949772727272727
"747",5,"ARI","A.Isabella","WR",1,3,2,30,0,31,0,3,35,317,0.0857142857142857,0.0977917981072555,0.197025687246507
"748",5,"ARI","C.Kirk","WR",1,7,5,78,0,96,0,7.8,35,317,0.2,0.302839116719243,0.51198738170347
"749",5,"ARI","D.Daniels","TE",1,2,2,37,0,9,0,3.7,35,317,0.0571428571428571,0.028391167192429,0.105588102748986
"750",5,"ARI","D.Hopkins","WR",1,7,6,131,1,101,0,19.1,35,317,0.2,0.318611987381703,0.523028391167192
"751",5,"ARI","K.Johnson","WR",1,1,1,5,0,1,0,0.5,35,317,0.0285714285714286,0.00315457413249211,0.0450653447498873
"752",5,"ARI","L.Fitzgerald","WR",1,7,4,35,0,48,0,3.5,35,317,0.2,0.151419558359621,0.405993690851735
"753",5,"ARI","T.Sherfield","WR",1,1,1,6,0,6,0,0.6,35,317,0.0285714285714286,0.0189274447949527,0.0561063542136097
"754",5,"ATL","B.Powell","WR",1,1,0,0,0,13,0,0,35,286,0.0285714285714286,0.0454545454545455,0.0746753246753247
"755",5,"ATL","C.Ridley","WR",1,10,8,136,0,132,0,13.6,35,286,0.285714285714286,0.461538461538462,0.751648351648352
"756",5,"ATL","H.Hurst","TE",1,6,2,8,0,55,0,0.8,35,286,0.171428571428571,0.192307692307692,0.391758241758242
"757",5,"ATL","J.Graham","TE",1,1,1,7,0,7,0,0.7,35,286,0.0285714285714286,0.0244755244755245,0.05999000999001
"758",5,"ATL","L.Stocker","TE",1,1,1,2,0,1,0,0.2,35,286,0.0285714285714286,0.0034965034965035,0.0453046953046953
"759",5,"ATL","O.Zaccheaus","WR",1,4,1,13,0,39,0,1.3,35,286,0.114285714285714,0.136363636363636,0.266883116883117
"760",5,"ATL","R.Gage","WR",1,5,2,16,0,41,0,1.6,35,286,0.142857142857143,0.143356643356643,0.314635364635365
"761",5,"BAL","D.Duvernay","WR",1,2,2,17,0,7,0,1.7,36,311,0.0555555555555556,0.022508038585209,0.0990889603429796
"762",5,"BAL","M.Andrews","TE",1,9,6,56,1,96,0,11.6,36,311,0.25,0.308681672025723,0.591077170418006
"763",5,"BAL","M.Boykin","WR",1,2,0,0,0,22,0,0,36,311,0.0555555555555556,0.0707395498392283,0.132851018220793
"764",5,"BAL","M.Brown","WR",1,10,6,77,1,141,0,13.7,36,311,0.277777777777778,0.453376205787781,0.734030010718114
"765",5,"BAL","N.Boyle","TE",1,2,1,2,0,4,0,0.2,36,311,0.0555555555555556,0.0128617363344051,0.0923365487674169
"766",5,"BAL","W.Snead","WR",1,3,0,0,0,18,0,0,36,311,0.0833333333333333,0.0578778135048231,0.165514469453376
"767",5,"BUF","A.Roberts","WR",1,2,1,16,0,35,0,1.6,45,383,0.0444444444444444,0.0913838120104439,0.130635335073977
"768",5,"BUF","C.Beasley","WR",1,6,6,53,0,35,0,5.3,45,383,0.133333333333333,0.0913838120104439,0.263968668407311
"769",5,"BUF","D.Knox","TE",1,3,1,15,0,12,0,1.5,45,383,0.0666666666666667,0.031331592689295,0.121932114882507
"770",5,"BUF","G.Davis","WR",1,9,5,58,0,125,0,5.8,45,383,0.2,0.326370757180157,0.52845953002611
"771",5,"BUF","I.McKenzie","WR",1,4,4,7,1,-1,0,6.7,45,383,0.0888888888888889,-0.00261096605744125,0.131505657093124
"772",5,"BUF","S.Diggs","WR",1,16,10,106,0,132,0,10.6,45,383,0.355555555555556,0.344647519582245,0.774586597040905
"773",5,"CAR","C.Samuel","WR",1,5,5,36,0,32,0,3.6,34,215,0.147058823529412,0.148837209302326,0.324774281805746
"774",5,"CAR","D.Moore","WR",1,5,4,93,1,49,0,15.3,34,215,0.147058823529412,0.227906976744186,0.380123119015048
"775",5,"CAR","I.Thomas","TE",1,1,0,0,0,10,0,0,34,215,0.0294117647058824,0.0465116279069767,0.0766757865937072
"776",5,"CAR","P.Cooper","WR",1,1,1,12,0,8,0,1.2,34,215,0.0294117647058824,0.0372093023255814,0.0701641586867305
"777",5,"CAR","R.Anderson","WR",1,12,8,112,0,121,0,11.2,34,215,0.352941176470588,0.562790697674419,0.923365253077975
"778",5,"CHI","A.Miller","WR",1,4,4,28,0,21,0,2.8,42,333,0.0952380952380952,0.0630630630630631,0.187001287001287
"779",5,"CHI","A.Robinson","WR",1,16,10,90,0,134,0,9,42,333,0.380952380952381,0.402402402402402,0.853110253110253
"780",5,"CHI","C.Patterson","WR",1,3,3,38,0,14,0,3.8,42,333,0.0714285714285714,0.042042042042042,0.136572286572287
"781",5,"CHI","D.Harris","TE",1,1,1,9,0,9,0,0.9,42,333,0.0238095238095238,0.027027027027027,0.0546332046332046
"782",5,"CHI","D.Mooney","WR",1,5,2,15,0,87,0,1.5,42,333,0.119047619047619,0.261261261261261,0.361454311454311
"783",5,"CHI","J.Graham","TE",1,5,3,33,1,67,0,9.3,42,333,0.119047619047619,0.201201201201201,0.319412269412269
"784",5,"CIN","A.Green","WR",1,1,0,0,0,18,0,0,29,205,0.0344827586206897,0.0878048780487805,0.113187552565181
"785",5,"CIN","A.Tate","WR",1,1,1,12,0,3,0,1.2,29,205,0.0344827586206897,0.0146341463414634,0.0619680403700589
"786",5,"CIN","D.Sample","TE",1,2,2,22,0,21,0,2.2,29,205,0.0689655172413793,0.102439024390244,0.17515559293524
"787",5,"CIN","M.Thomas","WR",1,1,1,6,1,10,1,4.6,29,205,0.0344827586206897,0.0487804878048781,0.0858704793944491
"788",5,"CIN","T.Boyd","WR",1,6,4,42,0,65,0,4.2,29,205,0.206896551724138,0.317073170731707,0.532296047098402
"789",5,"CIN","T.Higgins","WR",1,8,4,62,0,90,0,6.2,29,205,0.275862068965517,0.439024390243902,0.721110176619008
"790",5,"CLE","A.Hooper","TE",1,10,5,57,0,103,0,5.7,38,340,0.263157894736842,0.302941176470588,0.606795665634675
"791",5,"CLE","D.Njoku","TE",1,1,1,6,0,4,0,0.6,38,340,0.0263157894736842,0.0117647058823529,0.0477089783281734
"792",5,"CLE","H.Bryant","TE",1,1,0,0,0,22,0,0,38,340,0.0263157894736842,0.0647058823529412,0.0847678018575851
"793",5,"CLE","J.Landry","WR",1,9,4,88,0,111,0,8.8,38,340,0.236842105263158,0.326470588235294,0.583792569659443
"794",5,"CLE","O.Beckham","WR",1,9,5,58,0,71,0,5.8,38,340,0.236842105263158,0.208823529411765,0.501439628482972
"795",5,"CLE","R.Higgins","WR",1,3,3,31,1,30,0,9.1,38,340,0.0789473684210526,0.0882352941176471,0.180185758513932
"796",5,"DAL","A.Cooper","WR",1,4,2,23,0,22,0,2.3,33,237,0.121212121212121,0.0928270042194093,0.246797084771768
"797",5,"DAL","B.Bell","TE",1,1,1,13,0,4,0,1.3,33,237,0.0303030303030303,0.0168776371308017,0.0572688914461066
"798",5,"DAL","C.Lamb","WR",1,11,8,124,0,134,0,12.4,33,237,0.333333333333333,0.565400843881857,0.8957805907173
"799",5,"DAL","C.Wilson","WR",1,4,4,22,0,-5,0,2.2,33,237,0.121212121212121,-0.0210970464135021,0.16705024932873
"800",5,"DAL","D.Schultz","TE",1,3,1,6,0,10,0,0.6,33,237,0.0909090909090909,0.0421940928270042,0.165899501342539
"801",5,"DAL","M.Gallup","WR",1,4,4,73,0,69,0,7.3,33,237,0.121212121212121,0.291139240506329,0.385615650172612
"802",5,"HOU","B.Cooks","WR",1,12,8,161,1,134,0,22.1,35,341,0.342857142857143,0.392961876832845,0.789359028068705
"803",5,"HOU","D.Fells","TE",1,2,2,57,1,28,0,11.7,35,341,0.0571428571428571,0.0821114369501466,0.143192291579388
"804",5,"HOU","K.Stills","WR",1,1,1,14,0,5,0,1.4,35,341,0.0285714285714286,0.0146627565982405,0.0531210724759112
"805",5,"HOU","P.Brown","TE",1,1,1,4,0,-2,0,0.4,35,341,0.0285714285714286,-0.00586510263929619,0.0387515710096355
"806",5,"HOU","R.Cobb","WR",1,6,6,47,0,34,0,4.7,35,341,0.171428571428571,0.0997067448680352,0.326937578550482
"807",5,"HOU","W.Fuller","WR",1,8,4,58,1,119,0,11.8,35,341,0.228571428571429,0.348973607038123,0.587138667783829
"808",5,"IND","A.Dulin","WR",1,1,1,34,0,30,0,3.4,32,252,0.03125,0.119047619047619,0.130208333333333
"809",5,"IND","J.Doyle","TE",1,2,0,0,0,12,0,0,32,252,0.0625,0.0476190476190476,0.127083333333333
"810",5,"IND","M.Alie-Cox","TE",1,1,0,0,0,18,0,0,32,252,0.03125,0.0714285714285714,0.096875
"811",5,"IND","M.Johnson","WR",1,3,3,53,0,44,0,5.3,32,252,0.09375,0.174603174603175,0.262847222222222
"812",5,"IND","T.Burton","TE",1,6,5,33,0,31,0,3.3,32,252,0.1875,0.123015873015873,0.367361111111111
"813",5,"IND","T.Hilton","WR",1,10,6,69,1,111,0,12.9,32,252,0.3125,0.44047619047619,0.777083333333333
"814",5,"IND","Z.Pascal","WR",1,2,2,15,0,-3,0,1.5,32,252,0.0625,-0.0119047619047619,0.0854166666666667
"815",5,"JAX","C.Conley","WR",1,2,2,58,0,54,0,5.8,44,289,0.0454545454545455,0.186851211072664,0.198977665932683
"816",5,"JAX","C.Johnson","WR",1,4,3,30,1,30,0,9,44,289,0.0909090909090909,0.103806228373702,0.209027996225228
"817",5,"JAX","D.Chark Jr.","WR",1,4,3,16,0,21,0,1.6,44,289,0.0909090909090909,0.0726643598615917,0.187228688266751
"818",5,"JAX","J.O'Shaughnessy","TE",1,3,3,20,0,7,0,2,44,289,0.0681818181818182,0.0242214532871972,0.119227744573765
"819",5,"JAX","K.Cole Sr.","WR",1,6,2,25,1,109,0,8.5,44,289,0.136363636363636,0.377162629757785,0.468559295375904
"820",5,"JAX","L.Shenault Jr.","WR",1,8,7,79,0,40,0,7.9,44,289,0.181818181818182,0.13840830449827,0.369613085876062
"821",5,"JAX","T.Eifert","TE",1,7,3,16,0,48,0,1.6,44,289,0.159090909090909,0.166089965397924,0.35489933941491
"822",5,"KC","B.Pringle","WR",1,1,1,23,0,10,0,2.3,42,411,0.0238095238095238,0.024330900243309,0.052745915884602
"823",5,"KC","D.Robinson","WR",1,4,2,2,0,41,0,0.2,42,411,0.0952380952380952,0.0997566909975669,0.21268682655544
"824",5,"KC","M.Hardman","WR",1,3,2,50,0,15,0,5,42,411,0.0714285714285714,0.0364963503649635,0.132690302398332
"825",5,"KC","N.Keizer","TE",1,1,0,0,0,27,0,0,42,411,0.0238095238095238,0.0656934306569343,0.0816996871741397
"826",5,"KC","S.Watkins","WR",1,2,2,24,1,25,0,8.4,42,411,0.0476190476190476,0.0608272506082725,0.114007646854362
"827",5,"KC","T.Hill","WR",1,6,3,78,0,184,0,7.8,42,411,0.142857142857143,0.447688564476886,0.527667709419534
"828",5,"KC","T.Kelce","TE",1,12,8,108,1,108,0,16.8,42,411,0.285714285714286,0.262773722627737,0.612513034410845
